"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5393","Java Dailog","","Sun Apr 20 10:44:45 IST 2025","passed","Sun Apr 20 10:44:51 IST 2025","","magento.spec.js","",""
"","30179","has title","","Sat Apr 12 11:22:46 IST 2025","broken","Sat Apr 12 11:23:16 IST 2025","","example.spec.js","",""
"","6228","iframe example","","Sun Apr 20 10:44:54 IST 2025","passed","Sun Apr 20 10:45:01 IST 2025","","magento.spec.js","",""
"","1854","TC011- Verify Adding an Item to the cart","","Sun Apr 20 10:42:40 IST 2025","passed","Sun Apr 20 10:42:42 IST 2025","","magento.spec.js","",""
"","5786","dyanamic dropdown","","Sat Apr 19 12:10:45 IST 2025","passed","Sat Apr 19 12:10:51 IST 2025","","magento.spec.js","",""
"","18178","Navigation methods","","Sun Apr 20 10:44:26 IST 2025","passed","Sun Apr 20 10:44:44 IST 2025","","magento.spec.js","",""
"","7253","Inbuild Playwright locators","","Sun Apr 20 10:42:43 IST 2025","passed","Sun Apr 20 10:42:50 IST 2025","","magento.spec.js","",""
"","30066","Sample Test1","","Thu Apr 10 13:51:45 IST 2025","broken","Thu Apr 10 13:52:15 IST 2025","","magento.spec.js","",""
"","30411","Navigation","","Sun Apr 20 10:43:22 IST 2025","broken","Sun Apr 20 10:43:52 IST 2025","","magento.spec.js","",""
"","4866","TC016-	Go to about page of Sauce demo and verify the url","","Sun Mar 30 11:38:11 IST 2025","passed","Sun Mar 30 11:38:16 IST 2025","","magento.spec.js","",""
"","7435","TC017-Verify Sorting items from low to high","","Sun Mar 30 10:39:01 IST 2025","passed","Sun Mar 30 10:39:09 IST 2025","","magento.spec.js","",""
"","9744","get started link","","Sat Apr 19 12:30:44 IST 2025","passed","Sat Apr 19 12:30:53 IST 2025","","example.spec.js","",""
"","3539","dyanamic dropdown and webtable","","Sun Apr 20 10:44:51 IST 2025","passed","Sun Apr 20 10:44:54 IST 2025","","magento.spec.js","",""
"","42287","TC018-Verify Sorting items from high to low","","Sun Mar 30 10:39:32 IST 2025","passed","Sun Mar 30 10:40:14 IST 2025","","magento.spec.js","",""
"","7126","TC019-Verify Sorting items from z to a","","Sat Mar 29 11:44:00 IST 2025","passed","Sat Mar 29 11:44:07 IST 2025","","magento.spec.js","",""
